component_id,nodes_count,component_labels
0,531606,"[
  [protein],
  [rna],
  [dna],
  [peptide],
  [small_molecule]
]"
164057,1659,"[
  [protein]
]"
164068,957,"[
  [protein]
]"
null,824,"[
  [disease]
]"
202855,424,"[
  [protein],
  [small_molecule]
]"
164038,383,"[
  [protein]
]"
164539,273,"[
  [protein]
]"
185753,249,"[
  [protein],
  [dna],
  [small_molecule]
]"
198480,216,"[
  [rna],
  [small_molecule]
]"
165391,211,"[
  [protein]
]"
202837,201,"[
  [protein],
  [small_molecule]
]"
165982,155,"[
  [protein],
  [peptide]
]"
164437,141,"[
  [protein]
]"
202726,131,"[
  [protein],
  [small_molecule]
]"
164019,127,"[
  [protein]
]"
164061,112,"[
  [protein],
  [peptide]
]"
167917,111,"[
  [protein]
]"
182736,98,"[
  [rna],
  [dna],
  [small_molecule]
]"
182747,90,"[
  [rna],
  [small_molecule]
]"
202848,89,"[
  [protein],
  [small_molecule]
]"
165855,86,"[
  [protein]
]"
166987,78,"[
  [protein]
]"
203151,78,"[
  [protein],
  [small_molecule]
]"
202862,74,"[
  [protein],
  [small_molecule]
]"
164048,73,"[
  [protein]
]"
182741,73,"[
  [rna],
  [dna],
  [small_molecule]
]"
164078,72,"[
  [protein]
]"
167277,68,"[
  [protein]
]"
182754,68,"[
  [rna],
  [dna],
  [small_molecule]
]"
164014,67,"[
  [protein]
]"
165469,66,"[
  [protein],
  [peptide]
]"
203075,64,"[
  [protein],
  [small_molecule]
]"
165398,63,"[
  [protein]
]"
164927,61,"[
  [protein]
]"
165816,58,"[
  [protein]
]"
164362,57,"[
  [protein]
]"
202889,56,"[
  [protein],
  [small_molecule]
]"
184044,55,"[
  [protein],
  [dna]
]"
164440,53,"[
  [protein]
]"
184244,53,"[
  [protein],
  [dna]
]"
168098,52,"[
  [protein]
]"
164820,51,"[
  [protein]
]"
184162,49,"[
  [protein],
  [dna]
]"
165426,48,"[
  [protein],
  [peptide]
]"
202413,48,"[
  [protein],
  [small_molecule]
]"
167481,47,"[
  [protein]
]"
184023,47,"[
  [protein],
  [dna]
]"
166739,46,"[
  [protein]
]"
158272,46,"[
  [protein],
  [small_molecule]
]"
202836,46,"[
  [protein],
  [small_molecule]
]"
184157,45,"[
  [protein],
  [dna]
]"
184584,45,"[
  [protein],
  [dna]
]"
166275,43,"[
  [protein]
]"
168001,43,"[
  [protein]
]"
184009,42,"[
  [peptide],
  [protein],
  [dna]
]"
164736,41,"[
  [protein]
]"
167820,41,"[
  [protein]
]"
